;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79
OR4F5;6,24653972259509;6,26941847100802;6,52153059666045;6,36924201573791;5,50212460436107;6,63487578809726;6,2595628863964;5,83266364155767;6,35946001809052;6,15050616847464;5,84971463243021;6,21210384475901;6,6312001838563;6,59989951891979;6,28937426960958;6,82301490831531;6,71641381425232;6,19743093815043;7,04700979268693;6,8297729891335;6,60309619433688;6,2959413419291;6,11305395202709;5,95865293910337;5,6703272185887;6,48072848669623;6,25456182968809;5,84869691134427;6,1689786999774;5,46259794208805;6,08957942002672;5,98248148075029;6,01406126465326;6,54513160773478;5,97564208979767;5,99811641619763;6,56559844112477;6,09024856272833;6,7822879739143;6,02751314127737;6,58364357421524;7,04373105978301;5,84546834852449;6,70930811666622;5,85278811721425;6,5963277161868;6,18354288744484;6,05752182181304;5,96812806547013;6,340544503965;5,96642744207174;6,59679291307369;6,67525968934798;7,11533687082482;6,64666301689732;6,11488654043295;6,22681412071995;6,0661480928275;5,80536131370605;7,10125954897105;6,19559952715316;6,33601563239096;5,87962085810194;5,54756789040789;6,58993749938006;5,83266006992008;5,54395203460605;5,88153856389186;6,59380397936176;6,12007450069931;6,72494403153231;5,99067907010262;6,26293675769418;7,12849854009787;6,3985012133698;6,09539540357236;6,38481464918297;6,78844397825357;6,54156793545128
SEPTIN7P13;8,9286663895947;8,96463234053377;9,03936103589577;8,82574397544866;9,16288757852133;9,21669752067932;8,95970844018104;8,90366951374983;9,22840449015041;9,18897627944077;9,28676422893272;9,05231941604809;9,00952868078555;9,12622396483071;9,24548691039535;8,95864342436994;9,25478855996226;8,92389894099989;8,75991558214663;8,73018488792543;9,05328120245893;8,86320468343547;8,86760570587244;8,85545739381623;9,0811999360631;9,01550416342269;9,02056800793203;8,98008101307038;8,94123764582081;9,07573761441985;9,14792108355972;9,02297940822384;8,79981127508075;8,97434396569746;9,28504682581559;9,18249137453911;8,94689699252462;9,06091770419498;8,86790594391388;9,2433241708095;9,04035744131754;8,71673187992279;8,91097776253269;8,84096699562164;8,9639299999124;8,62758843455929;8,82160917643156;9,15044136054216;9,25935707919965;9,17479517900085;9,15089233021354;9,31595237454625;9,38579649365782;9,27250149085058;9,42483098618857;9,18690767450355;9,31797723617459;9,27610430727433;9,37992610450418;9,29469842943275;9,05958289288133;9,24148040566682;8,79358100196033;9,31713720145876;9,11228442133166;9,04048552515717;9,29740263323739;9,31477770371758;9,32360517826473;8,92769843548948;9,04238762143274;9,21883755629693;9,37526135628301;9,0323925901291;9,15356121559272;8,55264319024337;8,61540886831706;8,88156733872575;8,91980991291098
FAM87A;6,94320907094565;7,05684000693607;6,81424972117309;7,02677285902891;7,01361576151655;6,93663586013285;6,68266246358543;6,97364230840923;7,01164572474403;7,00163972613969;7,00163105347257;6,97658979797475;6,89672053670763;6,87108934826605;6,98796733351351;7,06367230514608;7,04434084424177;6,95720319219899;6,89124857507704;7,07899565722287;6,89032721906913;6,76865132351737;6,83193710765202;6,87506234475123;6,89396078914932;6,88523559904347;6,9111338810758;6,9783560005242;6,81835653427512;6,87528756561994;6,97227035968648;7,05092287193495;6,93298481010275;6,97155521043133;7,21261250938869;7,17127653460113;7,02173101691645;7,09115502371998;7,26793688714675;7,01811558261957;7,12935455093399;6,97955267947509;7,1344731737725;6,75411585913111;7,09451669485551;6,96124630212285;7,06066457479019;7,05460161345852;6,84653658712778;6,7787849115744;6,95891159829543;7,09579191759515;7,04817721046749;7,00415255691283;7,03533128153585;7,2161572559316;7,08233186435288;7,21355606090879;6,98366978111665;6,99849957012879;6,97135023222523;6,95401507717172;7,12583359540922;6,94877852061783;7,07305473542781;6,83999961864191;6,99016451058509;7,1902799906238;7,0827004345717;7,08025151029875;6,98484232987795;6,97908627900369;6,97345476317826;6,91881075123741;7,08154314444171;7,09958587129124;7,00507666064975;6,76911729704571;7,08665607204353
LINC01128;8,83607517494691;8,97174596374359;8,59649039439627;8,77908113270753;8,83169687521338;8,73378061714577;8,60698693535033;9,08351910405084;8,77304441912011;8,91488826803834;8,71979396241695;9,1368406763603;8,56355546552868;8,58762395703793;8,80397094729698;8,7517678349899;8,81878973571467;8,68240493359929;8,41405184352936;8,8396505662215;8,78325272618485;9,13558109714851;8,88074765995822;8,51485908497277;8,59262777130584;8,55730875346993;8,58170424391867;8,89940851466962;8,53773293461404;8,42396896486357;9,08486206079254;8,34683350574215;8,55454545449233;8,4663747549113;8,54128057196075;8,59667974047981;8,8609199271496;8,4467602973687;8,69306722788203;8,6928606441027;8,61538155838934;8,3365376222425;8,90213063317302;8,40529527142303;8,56725451726301;8,26930856735019;8,51795562193776;8,36804615947237;8,74138280692275;8,75766958060776;8,84911569380914;8,84303555406122;8,79665760815325;8,84100637166828;9,0309911461094;8,85439053401147;8,57141038575061;8,69273426088201;8,84398134917533;8,61211431691201;8,67696399865039;8,69641487252363;8,51531211788374;8,44214991937107;8,58353122137831;8,44255963180893;8,82926709858963;8,68283942784796;8,70845519496223;8,47174544440855;8,44696262509683;8,45186362535967;8,4037640624723;8,04346168466423;8,57969809006881;7,81268868660257;8,23236067546138;7,96811869410466;8,25886732301774
SAMD11;7,77451524128879;7,63306214873998;7,59900466805967;7,641271845005;7,68159965607101;7,62180807954544;7,53597041007078;7,73757666451467;7,47836519858588;7,51771579316418;7,52247731022556;7,51854976836294;7,49242172896655;7,53502428263373;7,56214846698803;7,59209668230004;7,41001132665106;7,5918121811676;7,63999475917387;7,69724876118024;7,59336390746049;7,61697332404972;7,56643239252401;7,47645356936606;7,47613281323615;7,42135809437509;7,57374252303855;7,64513810828849;7,59783339721384;7,56644028645473;7,5564650124989;7,54753619606396;7,62800182269312;7,4085879809387;7,36166632056357;7,57213927563028;7,48708507535234;7,46986710265979;7,54809370063341;7,35552698699754;7,4221333829646;7,5264477259173;7,7288818148257;7,60633160731702;7,62582437665354;7,61626085901489;7,59639700673686;7,48655492892047;7,57638459988201;7,54960587383973;7,5343680760495;7,57262056584462;7,55912508285734;7,36014213011922;7,51570086546848;7,47795556650309;7,44600531761721;7,58880411984951;7,33753422695491;7,71940945598006;7,67339148717196;7,6005062497573;7,58726840650359;7,41261807582609;7,56577605705256;7,52978427072247;7,559397764059;7,40365388917226;7,53457347716844;7,37294111607691;7,4014087616285;7,30980319039273;7,47746137480422;7,44469497075199;7,44100604757675;7,75563932949489;7,66193684741432;7,6368722348099;7,59835434473678
KLHL17;7,9928558069337;8,03838298594979;7,80159052679131;7,95370281708374;7,90754088992488;7,92147677520767;7,81453182449979;8,0274729807148;7,75853086844082;7,75970645484975;7,87758208841967;7,93897058388388;7,78170040390965;7,87084070267625;7,85484245866092;7,86821369915705;7,80349155015014;7,82931284458552;7,88490467738783;8,04451404091901;7,915412281491;7,96408247912211;7,82875702563963;7,70725278081309;7,75013869653683;7,71824718394276;7,80174678083518;7,9090762851265;7,74453976843882;7,7893807436433;7,97059748358281;7,77029355536035;7,92795469213317;7,58010126254773;7,61424152676946;7,70419184529501;7,76128239691414;7,70176583859553;7,83248557584891;7,54222378666593;7,66298995056137;7,76815627033377;7,85575438293036;7,85434203768582;7,79934960569162;7,8988105285991;7,87810652767099;7,86325272889279;7,83825134970313;7,77413107010125;7,88831601188548;7,75255535543244;7,81487990111901;7,65104380017582;7,77643708250518;7,73187534095183;7,74802915439149;7,86303939889287;7,69238998401674;7,94751298266558;7,82684730885143;7,78645264385409;7,8332972058861;7,6646528501678;7,7599441526118;7,79642799225408;7,649002233778;7,714089759661;7,79410953937368;7,57860731781657;7,74927976197312;7,61293193465104;7,63996339601221;7,70433636304391;7,73061394633562;7,81448150211394;7,90136438922808;7,85135262635149;7,84498784138024
PLEKHN1;8,04178057540525;8,0699669880641;8,01313208949312;8,01500405436026;8,1211867259704;8,08449424747476;8,00080416463336;8,06023656981325;7,98803245328921;7,98396132443259;7,86781500766419;8,04232835778947;7,98493237907085;7,98638320280084;7,9923446454195;8,09255870563565;7,87181019132595;7,97068128262663;8,01720363665836;8,17510776466576;8,09572367229788;8,17566764760809;8,03510258556308;7,92813522724007;7,94155232648864;7,91821267320862;7,9456529585347;8,10367229020604;8,03877845423961;7,97402111662443;8,08634744428106;7,91235886564293;7,97995859047401;7,89354686690303;7,87410477206443;7,91696427952134;8,00713938005068;7,84901441032282;8,01946489640168;7,83686433029191;7,93793464157671;7,87932283019905;8,07109107300992;8,01763036188686;8,08085597427388;7,96346103666526;8,00109959329606;7,82120417015096;7,95065686339453;7,99816107982919;7,92311087174412;7,90805722225535;7,9045195445343;7,77069344559711;7,87176165717122;7,87226668515027;7,85136298388099;7,96082238232587;7,78399972917856;7,98684355069058;8,03807305682976;8,0118205763206;7,97307590244622;7,84676064066988;7,94551965856721;7,88430427308399;7,92695634436341;7,85781968761346;7,92046655596779;7,79149908820635;7,88699477445195;7,80343116590252;7,73381721643422;7,85226839992068;7,86324062674861;7,98517132528847;8,02060086339643;8,03075684015599;7,9823106686828
ISG15;7,60386307245223;7,7433295551957;7,61169363489112;7,85755655694592;7,6694720011524;7,665784442955;7,66400440557607;7,87839687430556;7,75795000975961;7,62737528992377;7,71063846847971;7,75479688973659;7,77153825289801;7,65766910373356;7,69691814711258;7,7983825848712;7,54504497709493;7,87639384832409;7,88622604667238;7,81842551813418;7,77432982769651;7,90755646228677;7,54601356137455;7,50462173734541;7,56109605540254;7,62332241572144;7,76328763583421;7,83979963872706;7,42264565505113;7,62180570884214;7,56150107331319;7,5416275506964;7,63650418813927;7,37520034181049;7,37787795367296;7,64299265090875;7,52434043879235;7,67778323527092;7,5368843255958;7,5422830605889;7,55814922364494;7,71472225568114;7,69224567490255;7,7618451587882;7,73715112742796;7,85618244815724;7,86054148908235;8,09385073313931;7,79252782309083;7,7735664883946;7,78218506888162;7,57602400914878;7,66490313186132;7,6061727471985;7,71666530913011;7,93830403927229;7,8098066571464;7,81926775855506;7,69671431390708;7,90810131684634;7,88390100153887;7,8722616679532;7,57234000976305;7,72177974147157;7,54906468476427;7,58854347145868;7,57829501961065;7,68961638366323;7,73513246535333;7,42313604174269;7,57401398453534;7,5342298308249;7,74043986058464;7,54802449973424;7,62427420168942;7,87867572954469;7,65924737726455;7,76623295981082;7,74272707317661
AGRN;8,78177131245282;8,58019567941339;8,69413666020399;8,67003685457612;8,76706901370525;8,75120348909392;8,56804189942634;8,78254119077469;8,51236335250683;8,51392261905602;8,48604738822551;8,62790015260549;8,53151645102177;8,53617523987059;8,47790264070057;8,7310304498294;8,67441724263195;8,45690084960548;8,68678387747148;8,77242248863415;8,64529939185813;8,73583414369555;8,48062687422992;8,54925549936041;8,48018651734416;8,29721380012253;8,43130338928754;8,76574462976362;8,57301728366768;8,49252660675932;8,49338856213652;8,44464405984094;8,66460872504546;8,4178058935545;8,45374083352866;8,37675616272335;8,37543786636814;8,64714939039641;8,55845122654726;8,24091962905091;8,63250764357928;8,34854300856665;8,42195813686811;8,36779193158787;8,38558045045291;8,67724869746058;8,58375888748017;8,77425653786995;8,46283511396375;8,45676590131378;8,71538332710687;8,50827624480346;8,49767463794793;8,52423436262622;8,65941821111118;8,69253885723788;8,50904478033362;8,63303825829306;8,47563188202396;8,44380600951051;8,375828096572;8,42741458288381;8,63179278938581;8,31787920300087;8,64825044956825;8,63788249842917;8,41737770336086;8,58844618278343;8,61776227678576;8,3566083891521;8,54654421539382;8,47895440139794;8,37369943263447;8,55169644444033;8,50118802540062;8,40665251963598;8,63195990657715;8,51956102741421;8,62354000686661
MIR200B;6,84089120728229;6,99910838332623;6,84160748898657;6,82829908499729;7,00705279815257;6,96563758037835;7,03107749815089;6,83698699926181;6,72620073746445;6,69633166295534;6,67165191251369;6,93216534638969;6,71561291919402;6,68804866564257;6,67841864047972;6,83272971078796;6,59822753453694;6,92521743977429;6,69805091473707;6,96711875310099;6,9819588035118;6,81495899804599;6,98670328345537;6,87231009649583;6,80600729573267;6,7700654377384;6,79456534574475;6,85250318368837;6,68526818365365;6,85851899704;6,97835940240895;6,82386116880332;6,66159514901766;6,40850196545744;6,56447825613974;6,63962374892476;6,6464170748018;6,59680743534945;6,55600348835916;6,51086901911792;6,73348713984534;6,51306156993268;6,7780590077196;6,80603207092033;6,73856403430652;6,74822725005075;6,92598128913209;6,64837715017729;6,73046867691707;6,76038481758214;6,75923955551983;6,63844120908764;6,73927679180537;6,59621393288119;6,52580363347314;6,67107872342064;6,57488058689544;6,71691740508309;6,45625643832722;6,79527310938949;6,89588453099157;6,90816625362484;6,7340924469253;6,64627436945273;6,71297881645276;6,64991757581021;6,7277116284149;6,57541699921606;6,52883746212193;6,49334985962572;6,51100120418872;6,47751845648026;6,63185955952626;6,34896754920863;6,63461425918184;6,64216936256719;6,84607136800461;6,74174013621817;6,86147801296128
